label	text
1	Я все еще не получила диплом
1	Не поступил мой диплом
1	Так диплом и не получил
1	Я так диплом и не получил
1	Диплом я так до сих пор и не получил
1	Как получить диплом по прошедшему обучению
1	Как получить диплом
1	Как мне получить диплом
1	Как получить документы об образовании
1	Диплом до сих пор не получила
1	Удостоверение не получила
1	Как получить документ подтверждающий обучение
1	Закончил обучение и мне нужен документ
1	Прошел обучение, когда мне ждать документы
1	Когда ждать документа о завершении курса
1	Когда ждать документа о завершении обучения
1	Мне нужно, чтобы выслали диплом об окончании курса
1	Когда вышлют диплом
1	Когда получу документы по уже законченным курсам
1	Когда получу документы по обучению
1	Где сейчас находятся мои документы по обучению
1	Как я самостоятельно могу отслеживать свои документы
1	Когда я могу получить документы об окончании обучения
1	Как узнать, что документы по обучениям отправлены
1	Когда придут оригиналы документов по обучению
1	Как получить документы за курсы
1	Как я могу найти документы и свидетельства об окончании курсов
1	Когда оформят документ по итогам обучения
1	Прошел обучение, где документ
1	Когда отправят документы об окончании курсов
1	Как мне получить документы об образовании
1	Нет документов об образовании, что делать
1	Прошел обучение, когда мне пришлют оригиналы документов
1	Когда будут высланы документы о прохождении курсов
1	Куда исчезли мои документы о прохождении обучения
1	Какие сроки получения документов об образовании
1	Закончил учиться. Как понять всё ли хорошо с документами
1	Мне нужны документы обучения, как их получить
1	Когда вы отправите документы по обучению
1	Как получить документы, после окончания обучения
1	Когда будут отправлены документы по пройденным образовательным программам
1	Вопрос по поводу получения документов об окончании учебы
1	Когда будут отправлены документы об прохождении обучения
1	Просил выслать мне документы по обучению, не пришли
1	Как получить бумажные экземпляры дипломов по прошедшему обучению
1	Как можно получить документ по факту окончания курса
1	Не получил диплом
1	Мне оригинал сертификата пришлют
1	Вопросо о документе по результатам обучения
1	Как получить бумажные дипломы
1	Оригинал документа о прохождении курса я получу по почте
1	Можно мне получить документы по всем пройденным курсам
1	Завершил обучение по нескольким программам, когда могу ожидать документы
1	Когда я смогу получить диплом
1	Оригиналы документов по окончанию обучения где можно получить
1	Будут ли доставлены оригиналы документов подтверждающих обучение
1	Каким способом происходит отправка документов об окончании учебы
1	Как мне получить документ об окончании курса
1	Вопрос по доставке документа о прошедшем обучении
1	Закончила обучение. Когда ждать оригиналы дипломов
1	Документы о прохождении курсов когда получу
1	Прошла обучение на Вашей платформе, как я могу получить оригиналы документов
1	Всё прошла, все документы загрузила, а диплома так и нет
1	Я прошла обучение, когда будут высланы оригиналы на адрес
1	Как узнать трек номер для отслеживания доставки оригинала диплома
1	Обучение прошел, мои дальнейшие действия чтобы получить диплом и удостоверение
1	Закончил обучение, но диплом до сих пор не выслали
1	Закончила обучение, где смотреть трек отслеживания
1	Прошел обучение, как получить оформленный документ
1	Я не получил удостоверение о завершенных курсах
1	У меня закончилось обучение, выслали ли вы диплом и документы
1	Не получил диплом после обучения
1	Не могу найти информацию по отправленному почтой дипломе
1	Когда вышлют по почте диплом
1	Где мой диплом?
1	Диплома до сих пор нет
1	Диплом будет отправлени или нет
1	Окончила курс. Мои дальнейшие действия?
1	Когда я получу свои сертификаты и диплом?
1	Диплом до сих пор не пришел
1	Прошу разъяснить, где находится мой диплом
1	Почему еще не прислали документы по пройденному обучению
1	После окончания курса вы разве не должны прислать какие нибудь документы
1	Как можно получить сертификат, когда прошел тест
1	Итоговый тест сдала, подскажите, мои дальнейшие действия, нужно получить документы об обучении
1	Я уже все прошла, можно ли мне как то уже получить свои документы по обучению?
1	Прошла курс, как документы получить
1	Когда будут отправлены документы, если итоговые тесты сданы
1	закончила обучение, когда получу аттестат
1	Где найти сертификат
1	как получить сертификат
1	когда придет аттестат
1	Где мой диплом по окончании курса
1	мне не пришли дипломы, как быть
1	мне не пришел диплом после обучения
1	Мне до сих пор не пришли документы (диплом) об обучении
1	мне не пришёл диплом пройдены курсах
1	жду документ об окончании курсов
1	жду документ об окончании обучения
1	где можно увидеть и распечатать свои документы об окончании курсов
1	я прошла обучение . подскажите когда и где можно посмотреть диплом
1	где находиться папка дипломы
1	где в личном кабинете возможно посмотреть сертификат (диплом)
1	где можно посмотреть пройденные курсы и дипломы
1	где найти мой диплом
1	где можно скачать диплом о моем обучении
1	Где и как можно скачать электронный сертификат и диплом после прохождения обучения
1	где размещаются диплом
1	где можно посмотреть мои дипломы
1	где мой диплом
1	где в личном кабинете я могу найти сертификат
1	Где найти сертификат после пройденного теста
1	где посмотреть пройденные курсы и ссылки на полученные сертификаты
1	Я прошла курсы, где и как я могу получить сертификат
1	не могу найти сертификат, подскажите, где искать
1	Как зайти на станицу в личном кабинете, где распечатать сертификат
1	Прошел тест, где найти сертификат
1	я прошла обучение. где мой сертификат
1	где скачать диплом
1	где посмотреть диплом
1	Где скачать сертификат о прохождении курсов
1	где мне посмотреть сертификат
1	где найти в личном кабинете сертификат об учебе
1	прошла обучение, но сертификата не найду. Где он расположен
1	где можно увидеть сертификат по результатам прохождения тестов
1	где можно найти сертификат обучения за прошлый год
1	где я могу найти сертификат участия
1	Где можно посмотреть свои сертификаты и курсы
1	Прошла тест, но не вижу где можно распечатать сертификат
1	где найти свои сертификаты, которые получены ранее
1	где можно скачать сертификат
1	Где скачать в личном кабинете сертификат
2	Сдала тесты, что делать дальше
2	Не прошла тест. Есть еще попытка пройти тест снова
2	Программа зависла, мне надо заново проходить тогда итоговый тест
2	Можно еще раз пройти тест
2	Тест сдал с опозданием на один день, ничего сташного
2	Сколько вопросов в итоговом тесте
2	Сколько дается времени на тест
2	Почему некоторые тесты не активны
2	На что влияет, если в разделе тест- тест не сдала
2	Не дает пройти к уроку, хотя предыдущий тест сдан
2	Прошла программы обучения, а на почту сыпятся письма, что надо пройти тесты
2	Сколько будет попыток на сдачу итогового теста
2	Сколько неточных ответов допускается для сдачи теста
2	Тесты, которые не прошла, их можно как то пересдать
2	Можно возвращаться назад к пройденным урокам, без повторного прохождения теста
2	Итоговый тест имеет несколько попыток?
2	Сдача тестов будет зачтена если не уложился в указанное время
2	Не прошла тест, его можно пройти заново
2	что делать если не успел сдать тест
2	Где пройти тест
2	Итоговый тест сколько раз можно проходить и можно узнать сколько там вопросов
2	Тесты закончила что дальше
2	Сколько попыток на сдачу тестов
2	Помогите найти не сданные тесты
2	Как открыть тест?
2	Если не успеть сдавать тесты до сроков, которые указаны, эту тему обучения уже не пройти
2	Как пройти заключительный тест
2	Я ответила на все вопросы заключительного теста и компьютер переключился на первый вопрос, что делать
2	Могу пройти сразу итоговый заключительный тест без промижуточных
2	Итоговый тест сдаётся на время? Сколько попыток? и сколько вопросов?
2	Сколько попыток у тренировочного теста и можно ли его прерывать
2	Ограничивается ли время прохождения теста
2	Сколько есть попыток сдать тест
2	Где посмотреть какие тесты не сданы
2	Для сдачи итогового теста сколько попыток дается
2	Тест сдала, а он все равно весит с надписью успейте сдать тест
2	Сдать тест вовремя не успеваю(что будет если не успею)
2	Хочу пройти итоговый тест. Там одна попытка? На сколько вопросов надо ответить правильно
2	Я сдала итоговый тест. Какой следующий шаг?
2	Сколько по времени идет тест промежуточный и тест итоговый
2	"Сколько попыток возможно провести по ""Тренировке перед итоговым тестом"" и по ""Итоговому тесту"""
2	Какой порядок сдачи итогового теста (сколько вопросов, на время? и сколько попыток
2	Сделала окончательный тест, что дальше?
2	Курс закончила, тест сдала, он зачтен?
2	Как быстрей дойти до итогового теста?
2	Как пройти сразу итоговый тест, мне для галочки нужно
2	Пропустила все сроки тестов. Как мне наверстать ?
2	Если я с первого раза не сдам итоговое тестирование, у меня будет возможность пересдачи
2	Могу ли я ещё пройти тест
2	Проходила тесты и не сдала их нельзя пересдавать
2	Я рискую отстать от учебного графика. Мне осталось пройти итоговый тест
2	Есть ли возможность пересдачи теста после отрицательного результата
2	Я прошла тест, теперь я не буду зачислена в список отстающих?
2	Не успеваю пройти тест, можно сдать тест позже?
2	Срок сдачи теста заканчивается, будет ли он активен после конечной даты
2	Не успела пройти урок, соответственно и тест не сдам во время, можно будет сдать тест позже?
2	Если я не смогу сдать сегодня тест, то завтра смогу продлить его и сдать его в следующем месяце?
2	Если я вовремя не прошла темы, то итоговый тест я не смогу пройти
2	Прошла тест позже положенной даты, ничего страшного?
2	Можно ли пройти тесты, которые пропустил
2	Что если не сдать тест до указанной даты в курсе
2	Сроки сдачи теста можно перенести?
2	Что будет, если не успеть сдать тест в срок?
2	Сегодня последний день сдачи итогового теста, смогу ли я его пройти завтра
2	Не успеваю пройти тест, могу я перенести дату?
3	Пригласила пройти учебу, но доступ мне закрыт. Что делать?
3	Прислали приглашение на почту , зарегистрировалась, но не могу начать обучение
3	"Мне прислали приглашение на учебу, но пишет ""Доступ закрыт. Оформите подписку"". Что делать?"
3	Мне назначили обучение. У меня в разделе текущие обучения ничего не отражается
3	Приглашение в электронной почте приняла, но курс не появился
3	Приглашение на обучение отправляют повторно ,но до меня не доходят
3	На почту пришло приглашение о прохождении курсов, как найти их
3	Мне не приходят на электронную почту приглашения на обучение
3	Так и не поступило приглашение на курсы от организатора
3	Не могу принять приглашение, потому как требует логин и пароль
3	На мою электронную почту было выслано приглашение на обучение, при регистрации этого обучения я не увидела
3	Пришло сообщение от начальства на почту о присоединении к обучению
3	Мне не приходит приглашение для обучения, которое мне отправляли несколько раз
3	Руководитель прислал ссылки, приглашение на сайт зарегистрироваться надо) и приглашение с ссылкой на обучение
3	Работодателем отправлено приглашение на обучение, не могу пройти по нему дальше
3	Мне назначили обучение, не могу зайти по ссылке которую прислали на эл. Почту
3	Руководитель говорит, что мне отправлены приглашения на эл.почту на обучение, но мне ничего не приходит
3	Мне приходило на почту приглашение на прохождение обучения, но почту не смогли подтвердить.
3	Мне как сотруднику назначили обучение, но я не могу пройти по ссылке
3	Не могу пройти по отправленной мне ссылке для обучения, пишет заказать презентацию
3	Мне не пришло письмо с приглашением на курсы
3	Меня пригласил по ссылке руководитель для прохождения курсов. В личном кабинете курсов нет
3	Приглашение на учебу не приходит на эл.почту
3	Прислали ссылки на обучение, выхожу на личный кабинет. А дальше-то куда
3	Мне назначен курс, но ссылки в письме не было, как я в своем кабинете могу увидеть назначенное обучение
3	Директор мне присылает ссылку для прохождения обучения, но я почему-то прохожу его как отдельное лицо- не сотрудник школы
3	Мне назначено обучение, но я его не вижу
3	Я не вижу свое обучение. Мне было отправлено приглашение с эл. почты
3	Руководитель оформил обучение и прислал мне письмо с приглашением , я перехожу по ссылке а уроки не активны
3	Не приходят письма на почту. О том что меня приглашают пройти обучение
3	Мне нужно пройти обучение от работодателя, он мне прислал ссылку, но ссылка нерабочая
3	"На почту пришло письмо с приглашением, прохожу по нему, пишут ""Возможно страница была удалена или вы набрали неверный адрес."""
3	На электронную почту пришло письмо с ссылкой на обучение, что дальше
3	Мне отправили ссылку для обучения. Но я попадаю в свой кабинет и там не этого обучения.
3	Ссылка пришла, а когда захожу в свой кабинет, то там пусто, нет программ для обучения
3	Мне прислали приглашение на обучение на эл.почту, а я не могу перейти по ссылке
3	Начальник сказал, что назначил обучение, но я не получила на почту ничего
3	Руководитель отправил мне приглашение на обучение. Письмо на почту пришло, что дальше
3	Мне не приходит приглашение на обучение от руководителя
3	Руководитель прислал приглашение на обучение,а я не могу зайти
3	Пришло приглашение на почту пройти курсы. При переходе по ссылке в личном кабинете назначенных программ нет
3	На мою электронную почту пришло письмо с приглашением пройти обучение. Но при переходе по ссылке ничего не грузится.
3	Не могу принять приглашение на курсы от моего завуча на курсы
3	Как подключиться к обучению по приглашению, которое мне отправили на почту
3	Меня пригласили на курсы и переходя по ссылке он меня отправляет на главную страницу сайта
3	Письмо не приходит на эл. почту. работодатель говорит, что все отправлено
3	Работадатель назначил обучение, оно не отображается в ЛК
3	Меня пригласил начальник пройти обучение, но я не могу пройти по ссылке на почте
4	Не могу назначить сотрудникам своей группы обучение
4	Я админ для своих сотрудников, выбрала тему для изучения, но она не подходит. Как удалить
4	На почту получила программу. После регистрации продуктов нет
4	Мне назначено обучение. Почему его не видно?
4	Мне назначено обучение, но приглашение не приходит на е-майл. В личном кабинете найти тоже не могу
4	Отправляю учителям ссылку-приглашение на почту, но когда они переходят по ней, у них не получается начать обучение
4	Назначил обучение сотруднику . Он зарегистрировался, но ссылки на обучение не приходят
4	Отправила приглашение на курсы сотрудникам, что сделать чтобы они смогли спокойно заходить
4	Отправил приглашение, но моей коллеге не пришла ссылка на обучение
4	Не могу назначить обучение
4	Мне нужно пригласить сотрудника на обучение
4	Направила повторное приглашение в школу, письма нет
4	Отправила сотруднику приглашение на курсы. Ему на почту пришло письмо, но при переходе по ссылке не может принять приглашение.
4	Выслала приглашение на сотруднику, а обучение у него не появилось
4	Помогите с новым учеником, направляю ему приглашение он переходит по ссылке, а там надпись, что страница не найдена
4	Ученику не пришло письмо с приглашением на курсы
4	Учителю отправил приглашение. Но на личной странице педагога назначенного курса нет.
4	Сотруднику отправлено приглашение на обучение, но он не получает ссылку на курс от меня
4	Добавляем сотрудников на учебу, при принятия приглашении от нас у них не выходит личный кабинет, а выходит сообщение о регистрации
4	Работник, которому я назначила обучение, зарегистрировался, ему на почту пришла ссылка подтверждение. Ссылка не проходит, обучение не грузится
4	Учитель не может по ссылке начать обучение, в личном кабинете у него не отражаются данные курсы
4	Отправил приглашение на обучение, в назначении обучения на моей странице администратора я не могу ему повторно назначить это обучение и выслать приглашение
4	Назначила обучение и отправила им приглашение на почту, но им пишут, что их почта неизвестна
4	Сотрудникам отправляю по почте приглашение учится, оно им приходит, они переходят по ссылке и у них запрашивают Логин и Пароль
4	Сотрудникам назначил обучение, им на почту пришли ссылки, по ссылкам заходят, а там требуют пароль
4	Отправила приглашение на обучение нашему сотруднику, он его получил на свою почту, но проходя по ссылке он не видит своего обучения, написано , что обучение не назначено
5	Закончила обучение, но баллы в НМО так и не начислены
5	На портале НМО указаны одни сроки подписки, а в программе другие
5	Прошла учебу, баллы до сих пор не начислены
5	Прошел обучение, когда ждать баллы НМО
6	Где посмотреть документ о пройденном у вас курсе?
6	Как можно найти в ЛК электронный вариант документа о пройденном обучении
6	Как скачать диплом?
6	Как мне вывести документы о пройденных курсах
6	Ранее обучался. Где мне можно распечатать диплом или документ о прохождении обучения
6	Где я могу скачать копию диплома об обучении
6	Нужна ссылка на мой диплом
6	После сдачи тестов, хочу посмотреть документы об окончании курсов в электронном виде
6	Прошла у вас обучение, где скачать диплом об окончании
6	Не вижу своих сертификатов и дипломов в ЛК
7	Как подгрузить документы об образовании
7	Куда можно загрузить документы, и откуда начать обучение
7	Когда можно догрузить все документы
7	Как загрузить копии паспорта, диплома
7	На экране надпись, что для получения диплома необходимо загрузить документы
7	Куда вводить данные диплома и прочих документов
7	Как загрузить свои документы, до начала обучения?
7	Не могу найти куда загрузить сканы в личном кабинете
7	Приходят напоминания, что я должна загрузить документы
7	Пришло сообщение на почту, что нужно загрузить документы дял получения дипломов и сертификатов
7	Мне пришло письмо о том, что надо подгрузить документы
7	Что я обязан загрузить для получения диплома
7	Прошла обучение и сдала итоговый тест, как загрузить документы
7	необходимо внести скан страхового свидетельства для обучения, не найду в каком это разделе
7	где размещаются диплом и паспорт
7	не могу найти раздел где нужно загрузить документы : паспорт, диплом, договор
7	где оставить данные снилс
7	попросили заполнить СНИЛС в профиле, это где
7	где необходимо добавить номер СНИЛС
7	где в личном кабинете прописать СНИЛС
7	Где в личном кабинете указать СНИЛС
7	где ввести снилс
7	где прикрепить паспорт и диплом
7	как загрузить документы для получения диплома
7	где я могу загрузить документы для получения оригинала диплома
7	я загрузила диплом в развернутом виде, будет достаточно такого файла
7	Не получается загрузить документы: паспорт и диплом
7	где мне загрузить скан паспорта и диплома
7	я не могу загрузить документы (Диплом и паспорт) для оформления документов по обучению
7	куда загружать документы для получения диплома
7	как загрузить скан диплома
7	нужно загрузить диплом,как это сделать
7	Не получается загрузить документы ( диплом и паспорт)
7	как загрузить паспорт, для получения диплома
7	Где можно загрузить СНИЛС для выдачи диплома
7	Помогите загрузить паспорт и диплом
7	прохожу обучение, нужно загрузить мой диплом. Расскажите, как это сделать
7	Не могу загрузить свои документы(паспорт,диплом)
7	как мне загрузить копию диплома
7	как загрузить диплом о высшем образовании
7	как загрузить документы в профиль? диплом, паспорт
7	Как загрузить личные документы для оформления диплома об окончании курса
7	куда загрузить документы для получения диплома об обучении?
7	Где загрузит документы паспорт и диплом
7	как загрузить документы (паспорт, диплом) в личном кабинете
7	как загрузить диплом
7	Как загрузить документы на сайт, чтобы получить сертификат
7	как мне загрузить диплом и прочие документы. Я прошла итоговый тест
7	где загрузить документы? ( паспорт и диплом) во вкладке мои документы, нет окошечка для загрузки
7	не появилась строка загрузки моих документов (паспорт, диплом)
8	Что делать если не успел обучится в срок
8	Продлите мне, пожалуйста, обучение
8	Не окончила обучение из-за болезни. Как можно завершить обучение и получить документ о повышении квалификации?
8	Сегодня не могу открыть программу и продолжить учиться.
8	Как продолжить уже начатое обучение?
8	Обучение начато. Не было возможности заходить на сайт, как закончить обучение?
8	Прошу продлить программы обучения
8	Прошу возобновить мне доступ к учебе, т.к. не успела пройти вовремя
8	Не могу продолжить учиться, пишет что закончился доступ
8	У меня куплен курс, я не успела его изучить,нет ли возможности мне к нему вернуться
8	Сегодня заканчивается обучение, но я не успеваю, могу завтра нажать на кнопку продолжить обучение и продолжить учиться
8	Можно перенести обучение на другой срок? не успеваю пройти обучение
8	Возможно перенести срок сдачи итогового теста, неуспеваю?
8	Как можно продлить срок обучения
8	Можно продлить срок обучения?
8	Срок обучения прошел. Подскажите, нельзя ли продлить
8	У меня есть незавершенные курсы, нет времени пройти обучение во время. Смогу я аттестоваться по ним позже?
8	Я не успела сдать тесты. Можно ли продлить обучение?
8	Если я не успею сдать итоговый тест, что будет? Продлиться ли мое обучение?
8	Просьба продлить дату сдачи итогового теста
9	Где сертификат с вебинара
9	где можно найти свой сертификат с вебинара
9	где найти сертификат с вебинара
9	не пришел на почту сертификат об участии в вебинаре
9	мне не пришел сертификат на вебинар
9	в течении какого времени после вебинара придет сертификат
9	я посмотрела вебинар, как получить сертификат
9	почему мне не пришел сертификат об участии в вебинаре
9	почему нет сертификата участия только что прошедшего вебинара
9	как получить сертификат после вебинара
9	где скачать сертификаты участникам вебинара
9	где взять сертификат участника вебинара
9	послушала вебинар, как можно получить сертификат
9	получить сертификат после вебинара
10	Закрывающие документы
10	пришлите сверку
10	попросить сверку
10	пришлите документы через ЭДО
10	вышлите оригинал накладной
10	вышлите накладную
10	получить оригиналы документов
10	заказать оригиналы документов
10	перешлите закрывающие документы
10	пришлите закрывающие документы
10	нет закрывающих документов
10	прислать оригинал счет-фактуры
10	закрывашки
10	акт о работах
10	акт о выполненных работах
10	упд
10	накладной
10	накладная
10	накл.
10	приходные
10	акт передачи прав
10	акт. выполнен. работ
10	акт выполненных работ
10	акт вып. работ
10	акт. выполн. работ
10	акт. выполн работ
10	закрывающие
10	закрывающий
10	фактура
10	с/ф
10	сч-факт
10	сф
10	с-ф
10	акт взаиморасчетов
10	акт выверки
10	акти с сверки
10	акс сверки
10	сверить
10	свериться
10	сальдо
10	akt-sverki
10	akt sverki
10	aktsverki
10	сверка
10	акт-сверки
10	акт сверки
10	Акт-сврки
11	Не могу войти
11	как получить код активации
11	как получить код доступа
11	где взять код
11	как активировать код
11	не могу найти пароль
11	пароль не помню
11	восстановить пароль
11	забыла пароль
11	не могу зайти в свой профиль
11	Не могу зайти в обучение
11	не могу зайти в программу
11	не могу зайти
11	не могу зайти в личный кабинет
11	не могу зайти в журнал
11	почему мне не зайти в журнал
11	не могу зайти в статьи журнала
11	как зайти для просмотра журнала
11	не можем зайти в эл. журналы
11	не могу зайти в электронный журнал
11	не могу зайти на сайт журнала
12	Отписка от рассылок
12	сколько раз нужно отписаться
12	не подписывался
12	нужно отписаться от рассылки
12	нужно отписаться
12	отпишите от информации
12	не могу отписаться
12	не присылайте письма
12	отписывалась несколько раз
12	опишите меня от новостей
12	отпишите от новостей
12	отпишите меня
12	неоднократно отписывалась
12	не захламляйте почту
12	перестаньте слать письма
12	убрать рассылки на почту
12	убрать рассылки
12	рассылками
12	удалить рассылок
12	удалите из рассылки
12	уберите рассылки
12	прекратить спам
12	прекратить рассылку
12	прекратить рассылки
12	отписаться от рассылок
12	отписаться от рассылки
12	отписать от рассылки
12	отменить рассылку
12	отменить рассылки
12	отмена рассылок
12	отмена рассылки
12	отказаться от рассылок
12	отказаться о рассылки
12	отказ от рассылки
12	исключиться из рассылки
12	исключите из рассылок
12	исключите из рассылки
12	избавьте от спама
12	избавить от спама
12	избавить от рассылки
13	Получить демодоступ
13	мне нужен демодоступ
13	можно демо доступ
13	как получить демо доступ
13	получить демо версию
13	получить пробный доступ
13	Как получить пробный демодоступ
13	не могу получить демодоступ
13	как посмотреть демодоступ
13	как активировать демодоступ
13	как оформить демодоступ
13	как получить демодоступ
14	Телефон занят
14	у меня что-то номер телефона не грузится, пишет, что номер занят
14	Не могу сохранить телефон, так как выдает, что номер занят
14	не могу зарегистрироваться. номер телефона занят
14	что делать если номер телефона занят
14	почему пишет, что номер мобильного занят и не дает сохранить изменения
14	номер уже занят и что мне делать
14	что делать, если номер телефона занят при регистрации
14	не могу внести изменения в профиль (добавить фамилию) пишет, что номер занят
14	пытаюсь ввести номер телефона в личном кабинете, но пишет, что номер занят
14	хотела подключиться,пишет номер занят
14	при регистрации написал, что телефон занят
14	у меня не получается, пишет, что номер занят
14	почему мой номер телефона занят, так пишет система
14	требует подтвердить номер, а потом пишет, что номер занят
14	при регистрации набираю номер телефона. Пишет, что номер занят
14	указываю номер, пишут, что он занят
14	вбиваю номер для доступа, мне указывает, что номер занят
14	почему пишет, что номер занят
14	почему номер телефона занят
0	Удалить учетную запись
0	разорвать пользовательское соглашение и удалиться
0	удалиться из системы
0	удалиться из сервиса
0	удалить страницу
0	удалить себя в личном кабинете
0	удалить кабинет
0	удалить регистрацию на сайте
0	удалить профиль
0	удалить персональные данные
0	удалить номер базы
0	удалить данные с сайта
0	отзываю согласие на использование персональных данных
0	как удалить личный кабинет
0	удалить личную информацию
0	удалить личные сведения
0	как удалить учетку с сайта
0	просьба удалить аккаунт
0	подскажите. как удалить личный кабинет
0	прошу удалить личный кабинет
0	удалить учетку
0	удалить личные данные
0	удалить учетные данные
0	удалить персданные
0	удалить перс.данные
0	хочу удалить персональные данные
0	удалить личный кабинет
0	удалить профиль с данными
0	удалить данные
0	удалить регистрационные данные
0	нужно удалить учетную запись
0	хочу удалить учетную запись
0	удалите учетную запись
0	я бы хотел удалить аккаунт
0	необходимо удалить аккаунт
0	хочу удалить аккаунт
0	прошу удалить аккаунт
0	удалите акаунт
0	удалите аккаунт
0	как удалить аккаунт
0	необходимо удалить профиль
0	удалите профиль
0	хочу удалить профиль
0	как удалить профиль
0	прошу удалить профиль
0	удалить свой профиль
0	удалить мой профиль
